ISBN|Title|Author|Copies|Year|Publisher|Price
978-0-12-544360-9|Fluid-Structure Interactions, Volume 1|Michael P. Paidoussis|9|1998|Academic Press|219
978-0-12-544361-6|Fluid-Structure Interactions, Volume 2|Michael P. Paidoussis|9|2003|Academic Press|320
978-0-12-546334-8|Wind Power in View: Energy Landscapes in a Crowded|Martin Pasqualetti, Paul Gipe, Robert Righter|14|2002|Academic Press|262
978-0-12-550711-0|Design of Medical Electronic Devices|Reinaldo Perez|6|2002|Academic Press|267
978-0-12-550721-9|Space Interference: Aspects of Noise, Interference|Reinaldo Perez|7|1999|Academic Press|337
978-0-12-550722-6|Interference into Circuits: Aspects of Noise, Inte|Reinaldo Perez|8|1999|Academic Press|349
978-0-12-550723-3|Terrestrial and Mobile Interference: Aspects of No|Reinaldo Perez|10|1999|Academic Press|176
978-0-12-553010-1|Handbook of Computational Fluid Mechanics|Roger Peyret|14|2000|Academic Press|265
978-0-12-554157-2|Smart Inspection Systems: Techniques and Applicati|Duc T. Pham, R J Alcock|18|2003|Academic Press|138
978-0-12-560990-6|Handbook of Time Series Analysis, Signal Processin|D.S.G. Pollock, Richard C. Green, Truong Nguy|20|1999|Academic Press|252
978-0-12-563730-5|Ultrasonic Techniques for Fluids Characterization|Malcolm J.W. Povey|19|1997|Academic Press|217
978-0-12-580190-4|Time Domain Electromagnetics|Sadasiva M. Rao|12|1999|Academic Press|166
978-0-12-583560-2|Occupational Health in Aviation|Russell B. Rayman / Joseph Ribak / Paul Froom|16|1995|Academic Press|313
978-0-12-583961-7|Industrial Applications of Lasers|John F. Ready|17|1997|Academic Press|262
978-0-12-602250-6|Modeling and Problem Solving Techniques for Engine|Laszlo Horvath, Imre Rudas|19|2004|Academic Press|183
978-0-12-605811-6|Elasticity: Theory, Applications, and Numerics|Martin H. Sadd|9|2005|Academic Press|327
978-0-12-615760-4|Numerical Methods in Electromagnetism|Sheppard Salon, M. V.K. Chari|6|2000|Academic Press|329
978-0-12-618520-1|Robotics: Designing the Mechanisms for Automated M|Ben Zion Sandler|9|1999|Academic Press|286
978-0-12-619261-2|Exploratory Image Databases|Simone Santini|10|2001|Academic Press|308
978-0-12-620861-0|Lossless Compression Handbook|Khalid Sayood|10|2003|Academic Press|301
978-0-12-629810-9|Astronomical Optics|Daniel J. Schroeder|12|2000|Academic Press|213
978-0-12-635490-4|Photoreactive Organic Thin Films|Zouheir Sekkat, Wolfgang Knoll|11|2002|Academic Press|302
978-0-12-646490-0|Soft Computing and Intelligent Systems|Naresh Sinha, Madan Gupta|18|2000|Academic Press|309
978-0-12-655281-2|Hydrogen and Fuel Cells: Emerging Technologies and|Bent Sorensen (S? rensen)|11|2005|Academic Press|108
978-0-12-656153-1|Renewable Energy|Sorensen, Bent|5|2004|Academic Press|284
978-0-12-656881-3|The Hydrogen Energy Transition: Cutting Carbon fro|Daniel Sperling, James S. Cannon|13|2004|Academic Press|165
978-0-12-680145-3|Diagnostic Ultrasound Imaging: Inside Out|Thomas Szabo|16|2004|Academic Press|275
978-0-12-685351-3|Intelligent Communication Systems: Toward Construc|Nobuyoshi Terashima|10|2002|Academic Press|173
978-0-12-689340-3|Water Use, Management, and Planning in the United|Stephen A. Thompson|15|1999|Academic Press|169
978-0-12-691295-1|Engineering Digital Design: Revised Second Edition|Richard F. Tinder|5|2000|Academic Press|173
978-0-12-692660-6|Fundamentals of Acoustic Signal Processing|Mikio Tohyama / Tsunehiko Koike|13|1998|Academic Press|221
978-0-12-701510-1|Control of Induction Motors|Andrzej M. Trzynadlowski|8|2001|Academic Press|248
978-0-12-709120-4|Analytical Fracture Mechanics|David J. Unger|9|1995|Academic Press|343
978-0-12-710057-9|Environmental Contaminants: Assessment and Control|Daniel Vallero, Daniel Vallero|16|2004|Academic Press|162
978-0-12-734530-7|DSP Integrated Circuits|Lars Wanhammar|14|1999|Academic Press|126
978-0-12-734570-3|Magnetic Information Storage Technology|Shan Wang, Alex Taratorin|20|1999|Academic Press|254
978-0-12-748451-8|Mathematics for Multimedia|Mladen Victor Wickerhauser|10|2003|Academic Press|138
978-0-12-753960-7|Fourier Acoustics: Sound Radiation and Nearfield A|Earl G. Williams|19|1999|Academic Press|282
978-0-12-763952-9|Bio-Based Polymers and Composites|Richard Wool, X. Susan Sun|18|2005|Academic Press|210
978-0-12-774810-8|Photorefractive Optics: Materials, Properties, and|Francis T.S. Yu, Shizuhuo Yin|6|2000|Academic Press|139
978-0-12-774811-5|Introduction to Information Optics|Francis T.S. Yu, Suganda Jutamulia, Shizuhuo|18|2001|Academic Press|266
978-0-12-787767-9|Stress, Strain, and Structural Dynamics: An Intera|Bingen Yang|10|2005|Academic Press|331
978-0-340-54472-3|Sewers: Repair and Renovation|Geoffrey F Read, Ian Vickridge|17|1996|Butterworth-Heinemann|109
978-0-340-61058-9|Fluid Flow for Chemical and Process Engineers|F. Holland, R. Bragg|18|1995|Butterworth-Heinemann|169
978-0-340-61457-0|Introduction to Medical Electronics Applications|L. Nokes, D. Jennings, T. Flint, B. Turton|13|1995|Butterworth-Heinemann|322
978-0-340-63170-6|Performance and Stability of Aircraft|J. Russell|16|1996|ButterworthHeinemann|204
978-0-340-63171-3|Spectral Analysis in Engineering: Concepts and Cas|Grant Hearn, Andrew Metcalfe|18|1995|Butterworth-Heinemann|349
978-0-340-63183-6|Engineering Vibration Analysis with Application to|C. Beards|5|1995|ButterworthHeinemann|302
978-0-340-63191-1|Turbomachinery Performance Analysis|R. I. Lewis|12|1996|ButterworthHeinemann|342
978-0-340-63195-9|Principles of Engineering Manufacture|V. Chiles, S. Black, A. Lissaman, S. Martin|12|1996|Butterworth-Heinemann|220
978-0-340-63198-0|Introduction to Electric Circuits|Ray Powell|20|1995|ButterworthHeinemann|112
978-0-340-64570-3|Introduction to Digital Electronics|J. Crowe, Barrie HayesGill|14|1998|Butterworth-Heinemann|297
978-0-340-64571-0|Advanced Engineering Dynamics|H. Harrison, T. Nettleton|11|1997|ButterworthHeinemann|329
978-0-340-64580-2|Structural Vibration: Analysis and Damping|C. Beards|14|1996|Butterworth-Heinemann|164
978-0-340-66266-3|Concrete Folded Plate Roofs|C. Wilby|19|1997|Butterworth-Heinemann|207
978-0-340-66278-6|Modern Batteries 2nd Edition|C. Vincent, B. Scrosati|10|1997|ButterworthHeinemann|232
978-0-340-66279-3|Transport Planning and Traffic Engineering|Coleman A. O'Flaherty|10|1996|Butterworth-Heinemann|212
978-0-340-67648-6|NDT Data Fusion|Xavier Gros|12|1996|Butterworth-Heinemann|300
978-0-340-67649-3|Introduction to Fluid Mechanics|Yasuki Nakayama, Robert Boucher|16|1998|Butterworth-Heinemann|133
978-0-340-67650-9|Theory & Design of Air Cushion Craft|Liang Yun, Alan Bliault|8|2000|ButterworthHeinemann|305
978-0-340-67652-3|Hydraulic Fluids|Peter Hodges|12|1996|Butterworth-Heinemann|260
978-0-340-67699-8|Advanced Thermodynamics for Engineers|D. Winterbone|11|1996|ButterworthHeinemann|313
978-0-340-69135-9|Case Studies in Engineering Design|Cliff Matthews|19|1998|ButterworthHeinemann|340
978-0-340-69143-4|Introduction to Power Electronics|D. Fewson|5|1998|ButterworthHeinemann|326
978-0-340-70014-3|Software Development for Engineers: C/C++, Pascal,|William Buchanan|8|1997|Butterworth-Heinemann|302
978-0-340-70576-6|The Fundamentals of Signal Transmission: Optical F|Lemuel Ibbotson|5|1998|Butterworth-Heinemann|294
978-0-340-70589-6|Guide to Neural Computing Applications|Lionel Tarassenko|17|1998|ButterworthHeinemann|132
978-0-340-71920-6|Strength of Materials and Structures|Carl T. F. Ross, The late John Case, A. Chilv|9|1999|Butterworth-Heinemann|338
978-0-340-71964-0|Facilities Management and the Business of Space|Wes McGregor, Danny Shiem-Shen Then|20|1999|Butterworth-Heinemann|287
978-0-340-72018-9|Water Supply|Alan C. Twort, Don D. Ratnayaka, Malcolm J. B|17|2000|ButterworthHeinemann|221
978-0-340-73125-3|Analogue and Digital Communication Techniques|Graham Smillie|15|1999|ButterworthHeinemann|348
978-0-340-73162-8|Principles of Metal Manufacturing Processes|J. Beddoes, M. Bibby|15|1999|ButterworthHeinemann|107
978-0-340-74076-7|Computer Busses|William Buchanan|14|2000|Butterworth-Heinemann|276
978-0-444-50032-8|Molybdenum Disulphide Lubrication|A.R. Lansdown|16|1999|Elsevier|327
978-0-444-50033-5|Tribology for Energy Conservation|D. Dowson, C.M. Taylor, T.H.C. Childs, G. Dal|14|1998|Elsevier|135
978-0-444-50267-4|Lubrication at the Frontier: The Role of the Inter|D. Dowson, M. Priest, C.M. Taylor, P. Ehret,|10|1999|Elsevier|245
978-0-444-50503-3|Multi-Level Methods in Lubrication|C.H. Venner, A.A. Lubrecht|15|2000|Elsevier|257
978-0-444-50531-6|Thinning Films and Tribological Interfaces|D. Dowson, M. Priest, C.M. Taylor, P. Ehret,|14|2000|Elsevier|120
978-0-444-50558-3|Micro Mechanical Transducers|Minhang Bao, S. Middelhoek|8|2000|Elsevier|127
978-0-444-50581-1|Tribology Research: From Model Experiment to Indus|G. Dalmaz, A.A. Lubrecht, D. Dowson, M. Pries|5|2001|Elsevier|173
978-0-444-50649-8|Human Friendly Mechatronics|Eiji Arai / Tatsuo Arai / Masaharu Takano|13|2001|Elsevier Science Ltd|336
978-0-444-50746-4|Valve-Regulated Lead-Acid Batteries|D.A.J. Rand/P.T. Moseley/J. Garche/C.D. Parke|13|2004|Elsevier|337
978-0-444-50882-9|Capture Pumping Technology|K. Welch|20|2001|North-Holland|163
978-0-444-50969-7|Boundary and Mixed Lubrication: Science and Applic|D. Dowson, M. Priest, G. Dalmaz, A.A. Lubrech|11|2002|Elsevier|253
978-0-444-51047-1|Six Sigma Quality for Business and Manufacture|Joseph Gordon|9|2002|Elsevier Science Ltd|137
978-0-444-51086-0|The Classical Stefan Problem|S.C. Gupta|5|2003|Elsevier|179
978-0-444-51102-7|Stochastic Dynamics: Modeling Solute Transport in|Don Kulasiri, Wynand Verwoerd|18|2002|North-Holland|314
978-0-444-51155-3|Godunov-type Schemes|V. Guinot|14|2003|Elsevier|279
978-0-444-51243-7|Tribological Research and Design for Engineering S|D. Dowson, A.A. Lubrecht, G. Dalmaz, M. Prie|14|2003|Elsevier|199
978-0-444-51296-3|Tribochemistry of Lubricating Oils|Z. Pawlak|20|2003|Elsevier|229
978-0-444-51318-2|Tribology of Elastomers|Si-Wei Zhang|9|2004|Elsevier|222
978-0-444-51427-1|Non-Linear Theory of Elasticity and Optimal Design|L.W. Ratner|10|2003|Elsevier Science Ltd|245
978-0-444-51435-6|Uncertain Input Data Problems and the Worst Scenar|Ivan Hlavacek, Jan Chleboun, Ivo Babuska, Jan|20|2004|Elsevier|166
978-0-444-51589-6|Experimental Methods in Tribology|Gwidon W. Stachowiak, Andrew W. Batchelor, Gr|8|2004|Elsevier|249
978-0-444-51616-9|Analysis and Design Principles of MEMS Devices|Minhang Bao|7|2005|Elsevier Science Ltd|189
978-0-444-51687-9|Life Cycle Tribology|D. Dowson, M. Priest, G. Dalmaz, A.A. Lubrech|13|2005|Elsevier|331
978-0-444-51706-7|Transient Processes in Tribology|G. Dalmaz, A.A. Lubrecht, D. Dowson, M. Pries|5|2003|Elsevier|132
978-0-444-51756-2|An Intelligent System for Tribological Design in E|X.J. Zhang, C.L. Gui|14|2004|Elsevier|312
978-0-444-51813-2|Systems and Human Science - For Safety, Security a|T. Arai/S. Yamamoto/K. Makino|6|2005|Elsevier Science Ltd|196
978-0-444-51880-4|Tribology in Electrical Environments|H. Prashad|14|2005|Elsevier|140
978-0-444-52162-0|Tribology and Biophysics of Artificial Joints|L.S. Pinchuk, V.I. Nikolaev, E.A. Tsvetkova,|11|2006|Elsevier|187
978-0-444-72001-6|Measuring Current, Voltage and Power|K. Iwansson, G. Sinapius, W. Hoornaert, S. Mi|13|1999|Elsevier|336
978-0-444-81583-5|Mechanics of Geomaterial Interfaces|A.P.S. Selvadurai, M.J. Boulon|11|1995|Elsevier|278
978-0-444-81706-8|Materials Processing Defects|S.K. Ghosh, M. Predeleanu|10|1995|Elsevier|250
978-0-444-81801-0|New Insulators, Devices and Radiation Effects|G. Barbottin, A. Vapaille|10|1999|North-Holland|299
978-0-444-81815-7|Planning, Design, and Analysis of Cellular Manufac|A.K. Kamrani, H.R. Parsaei, D.H. Liles|6|1995|Elsevier|194
978-0-444-81930-7|Mechanics of Transformation Toughening and Related|B.L. Karihaloo, J.H. Andreasen|7|1996|North-Holland|188
978-0-444-82170-6|The Theory of Singular Perturbations|E.M. de Jager, J.F. Furu|7|1996|NorthHolland|230
978-0-444-82261-1|Semiconductor Sensors in PhysicoChemical Studies|L.Yu Kupriyanov|8|1996|Elsevier|315
978-0-444-82338-0|Damage and Interfacial Debonding in Composites|G.Z. Voyiadjis, D.H. Allen|14|1996|Elsevier|331
978-0-444-82349-6|Damage Mechanics|D. Krajcinovic|20|1996|North-Holland|222
978-0-444-82363-2|Micro Mechanical Systems|T. Fukuda, Wolfgang Menz|6|1998|Elsevier|312
978-0-444-82366-3|Hydrodynamic Lubrication|J. Frï¿½ne, D. Nicolas, B. Degueurce, D. Berthe|9|1997|Elsevier|144
978-0-444-82670-1|Advanced Methods in Materials Processing Defects|M. Predeleanu, P. Gilormini|19|1997|Elsevier|230
978-0-444-82790-6|Mercury Cadmium Telluride Imagers|A.C. Onshage|18|1997|Elsevier|253
978-0-444-89018-4|Wave Propagation in Layered Anisotropic Media|A.H. Nayfeh|18|1995|NorthHolland|199
978-0-444-89479-3|Plastic Limit Analysis of Plates, Shells and Disks|M.A. Save, C.E. Massonnet, G. de Saxcï¿½|7|1997|North-Holland|194
978-0-444-89515-8|Intelligent Sensors|H. Yamasaki|14|1996|Elsevier|292
978-0-444-89563-9|Finite Elements, Electromagnetics and Design|S.R.H. Hoole|13|1995|Elsevier Science Ltd|272
978-0-444-89798-5|Flexible Manufacturing Systems: Recent Development|A. Raouf, M. BenDaya|19|1995|Elsevier|325
978-0-7506-1681-2|Post-Tensioned Concrete Floors|Martin Williams, Sami Khan|5|1995|Laxton's|220
978-0-7506-1959-2|Adsorption Technology & Design|Barry Crittenden, W John Thomas|17|1998|Butterworth-Heinemann|241
978-0-7506-2403-9|Mechatronics Volume 2: Concepts in Artifical Intel|Jeffrey Johnson, Philip Picton|10|1995|Newnes|252
978-0-7506-2498-5|Engineering Contracts|ROBERT RIBEIRO|18|1997|Butterworth-Heinemann|240
978-0-7506-2530-2|Introduction to Marine Engineering|D A Taylor|14|1996|ButterworthHeinemann|349
978-0-7506-2628-6|Understand Electronic Filters|Owen Bishop|12|1996|Newnes|216
978-0-7506-2629-3|High Performance Audio Power Amplifiers|Ben Duncan|13|1996|Newnes|214
978-0-7506-2662-0|Protection of Industrial Power Systems|T. DAVIES|18|1998|Butterworth-Heinemann|209
978-0-7506-2724-5|Electrical Machines and Drives|John Hindmarsh, Alasdair Renfrew|12|1997|Butterworth-Heinemann|230
978-0-7506-2782-5|Electrostatic Hazards|Gï¿½nter Luttgens, Norman Wilson|5|1997|ButterworthHeinemann|200
978-0-7506-2856-3|Digital Storage Oscilloscopes|Ian Hickman|17|1997|Newnes|256
978-0-7506-3140-2|Newnes Industrial Control Wiring Guide|Mercer, R B|5|2001|Newnes|314
978-0-7506-3269-0|Elementary Behaviour of Composite Steel and Concre|Deric Oehlers, Mark A. Bradford|13|2000|Butterworth-Heinemann|213
978-0-7506-3277-5|Selection and Use of Engineering Materials|F A A Crane, J A Charles, Justin Furness|15|1997|Butterworth-Heinemann|166
978-0-7506-3355-0|EMC at Component and PCB Level|Martin O 'Hara|15|1998|Newnes|179
978-0-7506-3356-7|Valve and Transistor Audio Amplifiers|John Linsley Hood|15|1997|Newnes|209
978-0-7506-3429-8|Fuzzy Controllers Handbook: How to Design Them, Ho|Leon Reznik|5|1997|Newnes|335
978-0-7506-3541-7|Computational Methods in Process Simulation|W F Ramirez|10|1997|ButterworthHeinemann|247
978-0-7506-3545-5|Soldering in Electronics Assembly|MIKE JUDD, Keith Brindley|8|1999|Newnes|278
978-0-7506-3553-0|An Elementary Guide To Reliability|G. Dummer, R. Winton, Mike Tooley|16|1997|Butterworth-Heinemann|240
